player_name,conf,yr,role,Min_per,pts
Dylan Disu,B12,Jr,PF/C,53.9,15.0
Scotty Pippen Jr.,SEC,Jr,Pure PG,70.1,20.7727
Kareem Reid,BSth,Jr,C,48.8,6.1154
Jared Coleman-Jones,CUSA,Jr,PF/C,17.7,2.8
Russel Tchewa,Amer,Jr,C,29.0,3.2727
Terrence Shannon Jr.,B12,Jr,Wing G,64.1,12.8571
Tyreek Smith,B12,So,PF/C,21.1,2.6207
Maleeck Harden-Hayes,Sum,Jr,Wing F,51.5,8.8182
Yvan Ouedraogo,WAC,Jr,C,29.7,3.3636
Samari Curtis,MAC,Jr,Wing G,37.0,10.1176
Kevin Cross,Amer,Jr,Stretch 4,55.4,6.913
